detector_1,detector_2,lag,correlation,p_value,n_obs,q_value,significant
D_EKATERINBURG,D_IRKUTSK,53,-0.15194911040999973,0.6459681262087527,720,0.9239078862060128,False
D_EKATERINBURG,D_KALININGRAD,18,0.13689027901806639,0.9411920600132953,720,0.9584876358464014,False
D_EKATERINBURG,D_Krasnoyarsk,-8,0.1366492636064596,0.5998568825839534,720,0.9239078862060128,False
D_EKATERINBURG,D_MOSCOW,-47,-0.13896870415663323,0.871870971942946,720,0.9584876358464014,False
D_EKATERINBURG,D_MURMANSK,-69,0.1981131870306618,0.04939353481135145,720,0.444541813302163,False
D_EKATERINBURG,D_NOVOSIBIRSK,-71,0.1350539730200747,0.9444915694831542,720,0.9584876358464014,False
D_EKATERINBURG,D_SOCHI,39,-0.16133075060091082,0.17212493115349248,720,0.8671444393321581,False
D_EKATERINBURG,D_SPB,-70,0.21964941564722867,0.6449967191270041,720,0.9239078862060128,False
D_EKATERINBURG,D_Vladivostok,37,-0.1593154020674671,0.7098428211076371,720,0.9239078862060128,False
D_IRKUTSK,D_KALININGRAD,-56,0.16789019105032382,0.6641569070369278,720,0.9239078862060128,False
D_IRKUTSK,D_Krasnoyarsk,0,0.15432642938483032,0.07918157503016099,720,0.5938618127262074,False
D_IRKUTSK,D_MOSCOW,72,0.1636587850403898,0.34643968663659175,720,0.9239078862060128,False
D_IRKUTSK,D_MURMANSK,32,-0.1666713709597185,0.42263436680551725,720,0.9239078862060128,False
D_IRKUTSK,D_NOVOSIBIRSK,-22,0.20478445682641058,0.20915083807687296,720,0.9239078862060128,False
D_IRKUTSK,D_SOCHI,68,-0.09710986102552496,0.7470022609799996,720,0.9239078862060128,False
D_IRKUTSK,D_SPB,71,0.15500142669634195,0.7541495858904437,720,0.9239078862060128,False
D_IRKUTSK,D_Vladivostok,6,-0.19602684255765682,0.7826544439498426,720,0.9239078862060128,False
D_KALININGRAD,D_Krasnoyarsk,-66,0.13540241095550745,0.4830300586749363,720,0.9239078862060128,False
D_KALININGRAD,D_MOSCOW,12,-0.14100389196550533,0.5907802226494323,720,0.9239078862060128,False
D_KALININGRAD,D_MURMANSK,-58,0.16723058769013452,0.5375415825970729,720,0.9239078862060128,False
D_KALININGRAD,D_NOVOSIBIRSK,26,0.1460701179690254,0.2901102388388439,720,0.9239078862060128,False
D_KALININGRAD,D_SOCHI,3,0.16502190758542945,0.35798854898946186,720,0.9239078862060128,False
D_KALININGRAD,D_SPB,0,0.2427818147797353,0.006963809099669538,720,0.10445713649504307,False
D_KALININGRAD,D_Vladivostok,-52,0.1716489704987736,0.6424445310888738,720,0.9239078862060128,False
D_Krasnoyarsk,D_MOSCOW,-24,-0.10048732794301836,0.3556764736183764,720,0.9239078862060128,False
D_Krasnoyarsk,D_MURMANSK,-21,0.1507354111510684,0.5121625507418677,720,0.9239078862060128,False
D_Krasnoyarsk,D_NOVOSIBIRSK,0,0.36156474067272504,2.3911007327681588e-05,720,0.0010759953297456715,True
D_Krasnoyarsk,D_SOCHI,56,0.14230586825237876,0.7803159586001998,720,0.9239078862060128,False
D_Krasnoyarsk,D_SPB,-47,-0.12641541640972861,0.35926815196808426,720,0.9239078862060128,False
D_Krasnoyarsk,D_Vladivostok,2,-0.13747759212340474,0.14645846906961202,720,0.8671444393321581,False
D_MOSCOW,D_MURMANSK,72,0.13066787646988312,0.8007201680452112,720,0.9239078862060128,False
D_MOSCOW,D_NOVOSIBIRSK,37,-0.1549336742929874,0.2768252681971264,720,0.9239078862060128,False
D_MOSCOW,D_SOCHI,-67,-0.133483958723483,0.6586746434615225,720,0.9239078862060128,False
D_MOSCOW,D_SPB,0,0.2723910218448209,0.0012833109755281402,720,0.028874496949383155,True
D_MOSCOW,D_Vladivostok,23,0.14013960489837674,0.7775578078997591,720,0.9239078862060128,False
D_MURMANSK,D_NOVOSIBIRSK,-21,0.1816540206844817,0.9332638057036118,720,0.9584876358464014,False
D_MURMANSK,D_SOCHI,43,-0.21456593869020857,0.670956833397298,720,0.9239078862060128,False
D_MURMANSK,D_SPB,0,0.22852654679760828,0.018123066252235143,720,0.20388449533764536,False
D_MURMANSK,D_Vladivostok,11,-0.15400735555307893,0.5230780144220453,720,0.9239078862060128,False
D_NOVOSIBIRSK,D_SOCHI,-20,-0.15100145102336943,0.5687602124887428,720,0.9239078862060128,False
D_NOVOSIBIRSK,D_SPB,35,-0.15647008927054715,0.9308359031273652,720,0.9584876358464014,False
D_NOVOSIBIRSK,D_Vladivostok,56,-0.14629686028843028,0.2912136865229158,720,0.9239078862060128,False
D_SOCHI,D_SPB,29,-0.14479828797278332,0.17342888786643162,720,0.8671444393321581,False
D_SOCHI,D_Vladivostok,68,0.11697831903286549,0.9584876358464014,720,0.9584876358464014,False
D_SPB,D_Vladivostok,41,-0.15596369557767456,0.6138340351198055,720,0.9239078862060128,False
